 

stn;time;rre150h0
DAV;2013090100;0.0
DAV;2013090101;0.0
DAV;2013090102;0.0
DAV;2013090103;0.0
DAV;2013090104;1.3
DAV;2013090105;0.0
DAV;2013090106;0.0
DAV;2013090107;0.0
DAV;2013090108;0.0
DAV;2013090109;0.0
DAV;2013090110;0.0
DAV;2013090111;0.0
DAV;2013090112;0.0
DAV;2013090113;0.0
DAV;2013090114;0.0
DAV;2013090115;0.0
DAV;2013090116;0.0
DAV;2013090117;0.0
DAV;2013090118;0.0
DAV;2013090119;0.0
DAV;2013090120;0.1
DAV;2013090121;0.0
DAV;2013090122;0.0
DAV;2013090123;0.0
DAV;2013090200;0.0
DAV;2013090201;0.0
DAV;2013090202;0.0
DAV;2013090203;0.0
DAV;2013090204;0.0
DAV;2013090205;0.0
DAV;2013090206;0.0
DAV;2013090207;0.0
DAV;2013090208;0.0
DAV;2013090209;0.0
DAV;2013090210;0.0
DAV;2013090211;0.0
DAV;2013090212;0.0
DAV;2013090213;0.0
DAV;2013090214;0.0
DAV;2013090215;0.0
DAV;2013090216;0.0
DAV;2013090217;0.0
DAV;2013090218;0.0
DAV;2013090219;0.0
DAV;2013090220;0.0
DAV;2013090221;0.0
DAV;2013090222;0.0
DAV;2013090223;0.0
DAV;2013090300;0.0
DAV;2013090301;0.0
DAV;2013090302;0.0
DAV;2013090303;0.0
DAV;2013090304;0.0
DAV;2013090305;0.0
DAV;2013090306;0.0
DAV;2013090307;0.0
DAV;2013090308;0.0
DAV;2013090309;0.0
DAV;2013090310;0.0
DAV;2013090311;0.0
DAV;2013090312;0.0
DAV;2013090313;0.0
DAV;2013090314;0.0
DAV;2013090315;0.0
DAV;2013090316;0.0
DAV;2013090317;0.0
DAV;2013090318;0.0
DAV;2013090319;0.0
DAV;2013090320;0.0
DAV;2013090321;0.0
DAV;2013090322;0.0
DAV;2013090323;0.0
DAV;2013090400;0.0
DAV;2013090401;0.0
DAV;2013090402;0.0
DAV;2013090403;0.0
DAV;2013090404;0.0
DAV;2013090405;0.0
DAV;2013090406;0.0
DAV;2013090407;0.0
DAV;2013090408;0.0
DAV;2013090409;0.0
DAV;2013090410;0.0
DAV;2013090411;0.0
DAV;2013090412;0.0
DAV;2013090413;0.0
DAV;2013090414;0.0
DAV;2013090415;0.0
DAV;2013090416;0.0
DAV;2013090417;0.0
DAV;2013090418;0.0
DAV;2013090419;0.0
DAV;2013090420;0.0
DAV;2013090421;0.0
DAV;2013090422;0.0
DAV;2013090423;0.0
DAV;2013090500;0.0
DAV;2013090501;0.0
